mES_Serum_r1	mES_Serum_r2	mES_2i_r1	mES_2i_r2	mES_2i3p_r1	mES_2i3p_r2
Xkr4	0.153117	0.168833	0.247666	0.193491	0.026726	0
Sox17	0.107747	0.197887	0	0.151182	0.156592	0.0429497
Mrpl15	30.2042	26.3946	32.3598	37.9263	31.8801	34.6428
Lypla1	36.906	37.9433	53.8328	55.3948	57.8076	70.323
Rgs20	1.08249	0.758872	0.332278	0	0.0625704	0.0865276
Oprk1	0.0703669	0	0	0	0	0
Npbwr1	0	0.0287642	0.0538003	0	0	0
Atp6v1h	34.9459	0	0.751307	37.5365	34.8527	32.1087
Fam150a	0.650125	0.00583999	35.0077	0	0	0.196186
St18	0.0190407	23.8203	0	5.59701	0.416883	5.27202
Rb1cc1	9.12178	4.2666	4.75304	0	6.84004	0.0227413
Pcmtd1	7.73316	3.33134	8.1987	8.67102	6.18465	6.83153
Tcea1	82.6728	56.8616	65.9266	78.6273	94.5676	95.8334
Sntg1	0.0263218	0	0.060478	0	0.0459746	0
Rrs1	25.5233	60.411	27.8501	28.1642	40.6927	35.9723
Mybl1	2.75446	1.47629	3.95632	3.88914	3.33232	3.74183
Adhfe1	0.435768	0.389022	0.417306	0	1.19354	1.33678
2610203C22Rik	0	0	0	0.452159	0	0
3110035E14Rik	0	0	0	0	0	0.0421242
Mcmdc2	0.134321	1.03942	0.102956	0	9.75992	0.482197
Vcpip1	7.58811	7.51737	0	1.06565	0.721701	9.19232
1700034P13Rik	0.544079	1.78519e-06	0.882113	0	0.194942	0.351429
Sgk3	1.63591	0.0730183	5.8208	5.98167	2.96048	0.221979
Ppp1r42	0	0	3.91008e-07	4.52025e-07	0.156477	87.8321
Snhg6	115.289	91.3434	96.0993	111.255	89.9051	0
Snord87	0	154.247	0	0	0	3.30751
Cops5	67.9264	64.2844	86.4157	6.87806	72.7259	7.28529
Cspp1	7.41239	5.27233	9.2998	102.528	7.4467	75.9802
Cpa6	0	0.0186246	0	0.128022	0.742059	0.365554
Arfgef1	12.0859	7.12614	9.75826	10.6653	7.94221	0.821109
Prex2	1.02915	0.382183	0.459982	0.659924	0.511873	7.45018
A830018L16Rik	0.95054	2.84233	1.60376	1.01713	1.10069	1.07851
Slco5a1	0.265102	0.337104	0.260893	0.373098	0.276214	0.286341
Prdm14	1.98094	8.33296	4.1501	5.09044	12.1913	12.7471
Sulf1	19.5936	15.4657	4.24474	12.9459	21.4487	19.2383
Ncoa2	6.42459	7.13952	0	4.31202	7.58122	32.9336
Tram1	28.7082	21.2954	13.5863	27.026	0	7.02648
Xkr9	0	5.06221	26.111	0	0.087648	0
Gm5523	0.101551	0.0186678	0.993871	0	36.0635	0.122027
Eya1	0.737927	0	0.702269	0.911678	39.4368	2.00721
Lactb2	40.1916	0.514701	0	57.2062	4.83401	5.04739
Msc	0.488339	21.2931	48.2249	0.438566	2.11789	42.9856
Trpa1	0.103467	0.190251	0.297157	0.381587	0.700339	0.618201
Kcnb2	0	0	0	0	0.017969	0
4930444P10Rik	0	0.0884987	0	0	0	0.0494428
Sbspon	0.123986	0.124845	0	0.173847	0.144033	0
Terf1	58.4439	43.4017	38.7368	42.9658	51.557	47.3428
Rdh10	1.40905	2.46047	1.85193	1.37434	2.58319	2.40972
Stau2	4.11502	2.2901	3.56997	6.47782	1.53391	1.99598
Ube2w	8.9064	4.02329	0	4.19448	8.26156	0
D030040B21Rik	0	0.0925683	54.1505	0	0	9.07936
Tceb1	44.4997	9.31166	9.228	72.7452	44.1093	0.326919
Ly96	0.537447	1.95744	6.86544	1.09862	0.0245608	50.9055
Gdap1	0	0.0331925	1.45022	13.4711	0.27896	0
Crispld1	0.414295	0.00861888	0	1.05767	0.452363	0
Jph1	4.90273	0.062272	0	0	5.63512	0.98064
Tmem70	14.9899	0.110013	0.0358536	0	0	0
Pi15	0.0936706	0	0.681018	0	0	6.08999
Defb18	0	54.61	0.253854	0	1.13354	0
Defb44-ps	0	0	0	0	0	0.132036
Crisp4	0	0	0	0.17458	0.168811	1.02529
Defb41	0	0	0	0	0	0
Gm15386	0	0	0	0.0329445	0	0
Tfap2d	0	0	0	0	0	0
Tfap2b	0	0.00551618	0	0.0379367	0.0788332	0.0861247
Mir206	0	0	0	0	0	0
Mir133b	0	0	0.0378281	0	0.0144306	0
Il17a	0	0.0202398	0	0	0	0
Pkhd1	0.0329535	0	0	0	0	0
Il17f	0.108944	0.165322	0	0.227147	0	0.130983
6720483E21Rik	0	0.0350435	0	1566.07	0	0
Paqr8	1.22016	1.22114	1.20143	0	0.822187	1372.26
Efhc1	1.57556	0.449249	0.84564	1.10217	2.91473	0.817453
Gsta3	0.275283	0	0.780548	0.383477	0	2.52911
Khdc1b	0	0	2.95809	0.772088	0.157198	2.24394
Gm4956	0	0.613932	0.61275	0	0.0448081	2.77776
Tmem14a	0.582916	0	0.616441	1.69985	1.6564	0.956222
Khdc1c	0	3.89014	0	0	0.283936	0
Khdc1a	0	0.000224228	0.0694008	0.171939	1.82441	0.702085
-	2.5754	0.989838	0.192028	0.189838	2.99498	2.64451
Tram2	4.05026e-05	0	0	5.5054e-05	0.000304946	0.541988
Mir30c-2	0	0	95.3317	2.41939	0	0
Kcnq5	0.140487	0	0	0	0	0
4933415F23Rik	0	0.0203941	0	0	0	0
Mir30a	0	0.129329	0	0	0.0543964	0
Rims1	0.140607	0.591885	0.0716618	0.197628	0.790682	0.428755
Ogfrl1	1.96804	2.06667	1550.78	0.0656315	0.286783	0.0372542
Mcm3	100.221	10.6449	2.44245	2.28925	14.8518	0.972908
Rpl7	1273.49	0.00873343	0.214884	105.546	0	14.2882
1110058L19Rik	16.3965	155.655	23.5567	29.8716	3.34028	0
B3gat2	0.118847	0.0737602	0	0	0.0773155	111.205
Smap1	24.1136	21.1623	4.46251	4.38236	19.1427	2.66035
Col9a1	0.0570132	0.00311373	0.0709222	9.52258e-08	0.00887944	0.25756
Fam135a	6.73357	2.37925	20.9107	23.0999	1278.72	22.5699
Col19a1	0	1209.13	0	0	125.471	0.0242098
Lmbrd1	4.08592	0	0	2.47422	0	2.19866
4931408C20Rik	0	0	0	0	2.4401	0
Bai3	0.0986599	1.43909	2.509	0	0	0
