gene_symbol	ICM_1_FPKM	ICM_2_FPKM	ICM_3_FPKM	TE_1_FPKM	TE_2_FPKM	TE_3_FPKM
WASH7P	1.579002	5.648555	2.616427	3.123969	9.304902	11.85409
FAM138A	0.0	0.0	0.0	0.0	0.0	0.0
FAM138F	0.0	0.0	0.0	0.0	0.0	0.0
OR4F5	0.0	0.0	0.0	0.0	0.0	0.0
LOC729737	0.111252	0.446056	0.285618	0.212555	0.84962	0.426846
LOC100132287	0.0	0.0	0.0	0.0	0.0	0.0
LOC100132062	0.0	1.699305	3.652469	1.093717	3.673187	9.963088
LOC100133331	0.0	0.0	0.0	0.0	0.0	0.0
OR4F29	0.0	0.0	0.0	0.0	0.0	0.0
OR4F3	0.0	0.0	0.0	0.0	0.0	0.0
OR4F16	0.098645	0.0	0.119914	0.19159	0.0	0.041141
LOC100288069	0.0	0.192933	0.084048	0.0	0.332014	0.0
LINC00115	1.200214	2.177898	1.563871	0.518598	1.266123	1.867975
LOC643837	9.592946	21.467813	17.608969	15.627504	27.152298	11.300468
FAM41C	0.0	0.0	0.0	0.0	0.0	0.0
LOC100130417	0.0	0.0	0.0	0.0	0.0	0.0
SAMD11	0.323866	0.111782	0.051484	0.0	0.0	0.0
NOC2L	10.956307	13.600785	21.760773	13.568998	32.537075	43.013363
KLHL17	2.442085	6.070301	4.615934	5.891184	7.957076	19.002371
PLEKHN1	0.0	0.0	0.0	0.0	0.0	0.0
C1orf170	0.0	0.0	0.152624	0.0	0.0	0.367938
HES4	0.0	0.0	0.0	0.0	0.0	0.0
ISG15	2.355468	7.316621	2.934709	0.681818	0.701769	9.524479
AGRN	0.0	0.080557	0.089678	0.168272	0.482675	0.195924
RNF223	0.0	0.0	0.11854	0.0	0.0	0.0
C1orf159	3.104854	3.901677	4.667661	7.416631	13.35217	26.808382
LOC254099	0.0	0.0	0.0	0.071741	0.0	0.0
MIR200B	0.0	0.0	0.0	0.0	0.0	0.0
MIR200A	0.0	0.0	0.0	0.0	0.0	0.0
MIR429	0.0	1.901468	3.614681	0.0	0.0	0.0
TTLL10	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF18	0.0	0.0	0.124857	0.0	0.0	0.45884
TNFRSF4	0.0	0.0	0.0	0.0	0.234157	0.0
SDF4	0.0	0.0	0.0	4.474054	0.0	15.935311
B3GALT6	7.343191	8.599387	5.208424	10.314677	14.571821	15.970854
FAM132A	0.0	0.0	0.0	0.0	0.0	0.345697
UBE2J2	0.0	6.032157	0.0	26.334156	59.5881	6.975939
SCNN1D	0.0	0.0	0.249161	0.0	0.0	0.0
ACAP3	0.172569	0.438044	0.495618	0.495062	0.355371	0.641952
PUSL1	18.359037	31.604485	30.249176	39.527977	76.533432	75.534203
CPSF3L	23.494656	53.488522	46.743187	36.427044	84.797577	147.51207
GLTPD1	0.622285	0.662961	1.140294	2.630221	4.932502	6.145322
TAS1R3	0.0	0.0	0.0	0.0	0.0	0.0
DVL1	5.779498	10.078509	10.315844	15.663399	38.631676	43.177345
MXRA8	24.115511	45.319839	75.006027	47.373207	60.702042	150.636993
AURKAIP1	38.103336	148.48056	64.672897	21.51018	0.364779	67.033508
CCNL2	47.501762	50.914482	67.601646	69.049324	131.485031	153.600143
LOC148413	2.912522	4.816957	1.698299	3.512993	6.284961	5.289292
MRPL20	312.10788	366.037567	348.472107	401.644867	316.255554	274.847626
ANKRD65	0.0	0.163634	1.115533	0.0	0.619361	1.464177
TMEM88B	0.0	0.0	0.0	0.0	0.0	0.0
VWA1	0.22376	11.271523	0.440104	0.157305	11.630098	20.660877
ATAD3C	0.0	0.0	0.140338	0.017085	0.411341	0.0
ATAD3B	38.228832	59.911728	53.093452	60.447468	99.998573	176.463333
ATAD3A	0.0	0.0	3.422705	0.0	0.0	4.881703
TMEM240	0.0	0.0	0.0	0.0	0.0	0.0
SSU72	81.866158	91.420807	75.708244	89.856392	108.144295	102.319672
C1orf233	6.234804	4.977763	9.295304	6.586077	6.674321	20.291893
MIB2	0.0	0.0	0.0	0.0	0.078272	0.0
MMP23B	0.0	0.0	0.0	0.0	0.0	0.320407
MMP23A	0.0	0.0	0.0	0.0	0.0	0.0
CDK11B	0.0	0.0	0.0	0.0	0.0	0.0
SLC35E2B	2.220947	4.316572	7.388325	3.567218	5.35636	6.328702
CDK11A	5.012272	2.165617	7.477489	5.57292	5.021207	10.066222
SLC35E2	0.231037	0.545725	0.473225	0.112394	0.715794	0.960537
NADK	0.0	0.0	0.0	0.044871	0.0	0.0
GNB1	73.67543	103.183418	93.520676	117.198822	168.896072	125.756264
