baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Tram2	124.400081744852	-10.2206396479308	2.78924375831929	-3.66430492761573	0.000248011176611642	0.00431663452892562
Evi2b	83.229890943423	-9.64078244020622	2.77946260864154	-3.46857785034861	0.000523220907763131	0.00779179456651747
St6galnac3	37.5765898060225	-8.49297546292139	1.92047330994617	-4.42233454583102	0.00000976401147966305	0.000271908191685657
Fut2	29.5121346059405	-8.14519222378773	2.49182548655497	-3.26876511526846	0.00108017930377176	0.0138493707419135
Npas3	21.7532105181798	-7.70466244559652	1.66431884837268	-4.62931874690352	0.00000366870685223593	0.000114793425192209
1700096J18Rik	20.4679849682042	-7.61707267865856	2.13327959037109	-3.57059276854261	0.00035617427921308	0.00577342335711632
C2cd4c	19.7174009962849	-7.56221101294009	2.66341743017478	-2.8392887000232	0.00452142290297237	0.0424983726087503
Nr0b1	18.9740928413145	-7.50777765678068	1.78603631097951	-4.20359743563287	0.0000262705988965977	0.000643999681401808
Dnaic1	17.14343691152	-7.36156554773634	2.2899773235514	-3.21468927749891	0.00130585791261053	0.0161194730276499
Plcl2	14.3088702961762	-7.09920664974215	2.43628844375142	-2.91394340762489	0.0035689459858134	0.0356997154500472
Lmx1b	12.7559635573239	-6.93504332126275	2.48825027469351	-2.78711646967144	0.00531793619990124	0.0481136735850714
Cd200	59.7611340159752	-6.88041320686639	1.77442062071475	-3.87755480664719	0.000105511563753316	0.00211692076902187
Fam26e	34.6290668122857	-6.86710009815004	1.34915850142727	-5.08991352082452	0.000000358226847806576	0.0000147137186691999
Rspo3	27.7318313925128	-5.6167840272324	1.99816345848042	-2.81097324815653	0.00493918924196226	0.045484967595954
Clu	26.7600535060675	-5.55186361677243	1.6032928557703	-3.4627882216222	0.000534608997144711	0.00793592289578141
Etv1	20.849686187694	-5.45568010001465	1.64942927495808	-3.30761687260177	0.00094093440642504	0.0124781405243736
Rdh9	27.771944849645	-5.31126481489992	1.44833699762757	-3.66714709601424	0.000245271713936638	0.00428841844848548
Col5a2	53.198090864589	-5.17535993416168	1.12628335316645	-4.59507806770968	0.00000432587281189263	0.000132381215456688
Zfp385c	31.1536950495491	-5.09132134501744	1.68917834309085	-3.01408158933731	0.00257758477420331	0.0277145099583065
AY512931	25.4861513471871	-5.07557031698014	1.77907658506439	-2.85292401664454	0.00433189780377689	0.0412567339396645
Egflam	65.8367760162829	-4.87857027097207	1.11806844329062	-4.36339143658667	0.0000128061505177893	0.000338997794315016
Dact3	23.150280175135	-4.75797243187152	1.68494363943363	-2.8238169636765	0.00474554771576111	0.0440486531023463
Sox2ot	48.7632834664823	-4.74916318877419	1.39240297867464	-3.41076776013125	0.000647802430739366	0.0092418043500153
Sepp1	46.6268004736897	-4.68752647101681	1.43968428728125	-3.25594056448924	0.00113017407099354	0.0143450717999216
E130307A14Rik	46.0065542817339	-4.59917956313563	1.62579408784083	-2.82888195838112	0.0046710924228197	0.0436512019431822
Aoah	27.5659091193351	-4.43239028123063	1.44783958860521	-3.0613821559477	0.00220317698610975	0.0244633463752728
Tspyl5	45.658054271668	-4.30169582171514	1.45463249668365	-2.9572389119055	0.00310407503410436	0.0321272018189854
Timp1	97.363781992863	-3.95361722195699	0.757726250223458	-5.21773822774524	0.000000181121192748326	0.00000794658231216042
Gja4	57.4982569751637	-3.85382552135893	1.03394780888823	-3.72729212077234	0.000193548082717112	0.00352282810948114
Cc2d2a	22.4622130874471	-3.83042377100991	1.31286662203546	-2.91760313402686	0.00352732978140678	0.0354361759569322
Fbn1	141.624426781952	-3.82610895671954	1.19843636680925	-3.19258415605852	0.00141005849599871	0.0172074097268064
