baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Efna1	43.6315690189561	9.10416817143221	1.49750115006183	6.07957340871243	0.00000000120502705065561	0.0000000883094560701509
Ppm1n	32.4590580637485	8.66728729761678	1.71292156901342	5.05994404788119	0.000000419379523889276	0.0000167800014098686
1110007C09Rik	31.4063345933619	8.6291882712301	1.46649017812571	5.8842455271394	0.00000000399873856186948	0.000000270283668618789
P2ry2	28.6952898660568	8.49376986909628	2.17801532542959	3.8997750704169	0.0000962820942281304	0.00196237522213216
Slc27a2	26.8096356317053	8.40722981113031	1.55695356856039	5.39979481784029	0.0000000667171587138306	0.00000331774899261206
Tmem140	26.0446611649698	8.37025446192733	1.9363006590298	4.32280721637585	0.0000154056342019591	0.000400201586992685
Efs	25.4142608615003	8.31574052335744	1.67160136211396	4.9747150916658	0.000000653436734882362	0.0000251338483328785
Nek11	24.8003281809578	8.28095495650619	1.71672118900795	4.82370405254423	0.00000140916460091812	0.0000495059843230868
Zglp1	21.186771393689	8.05072990586653	1.81920637925767	4.42540769296975	0.00000962603119148885	0.000269142285763636
Hcls1	19.2412063105072	7.93366121573751	1.70325636863413	4.65793720888866	0.00000319393591591881	0.000101767422639024
Gm9994	18.742935795632	7.88353624925549	2.69483692077526	2.92542238399625	0.0034398897362755	0.0347583633439042
Cspg5	18.4567681204745	7.86591021623076	1.71035773434957	4.59898538081104	0.00000424553570425449	0.000130496333655716
Xkr6	18.3754629665956	7.84575554052717	1.8715383391265	4.19214256876459	0.0000276332242111481	0.000669156545940916
Tnnt2	18.2445624993039	7.83634991341277	1.78447181100721	4.39141143338639	0.0000112617208038129	0.000306266016547443
Myo1f	18.1377733866718	7.82998301949057	2.34993630316012	3.33199798180106	0.000862248815143672	0.0117245629902934
Lhx8	17.5681950435617	7.79028187511015	1.74812258127015	4.45637048487176	0.00000833589228567711	0.00023784623808559
4933431G14Rik	17.0087349648562	7.74851296552791	1.72074521024819	4.50299842148642	0.00000670013816791697	0.000195993117332092
Samd7	17.0542598469513	7.74404990223989	2.76486497457638	2.80087815262169	0.00509637579076724	0.0465935236445457
Hspb2	16.5780017285383	7.72063048984681	2.14761443605054	3.59497978791996	0.000324416762361026	0.00535210781885654
AI854703	16.3647171238561	7.68491382404098	1.78756382030995	4.29909899536257	0.0000171493864062917	0.000441382728874687
Ces2f	16.2452613453618	7.66856139897791	1.86578046759659	4.11010916458794	0.0000395472113100817	0.000914709917411258
Timd4	15.8663930279907	7.6346121121547	1.86591267795507	4.09162347324945	0.0000428363766311604	0.000977792964282423
Hoxb7	15.4641840699356	7.59718552819236	1.94942359349627	3.89714454751564	0.0000973335295742817	0.001975615256257
Rasa4	15.3372411941886	7.58610997896292	2.43594352957747	3.11423885112754	0.00184420131326398	0.0212395856789807
Grap	15.2934742337738	7.57563132655889	2.05690281165881	3.683028329593	0.00023047953436236	0.00410908711454737
Sh2d7	15.0042754819753	7.56270660882319	1.82545873480863	4.14290745915765	0.0000342930347855227	0.000812628373075237
Ms4a10	15.0087948701901	7.56213849181532	1.79523268434057	4.21234448201519	0.0000252733715669854	0.000625055818292548
Ssc5d	15.1152794706975	7.55907287610808	2.06083170465182	3.66797194503818	0.000244482002009861	0.00428841844848548
Zfp697	14.9601252955101	7.55516028439756	1.87729091323229	4.02450160022839	0.0000570961059147629	0.00123832738124168
Lrch4	254.835261964787	7.49723699621666	1.61096510387523	4.65387920457234	0.0000032574768343591	0.000103555039821041
Ninj2	14.316718451643	7.49205414262163	2.36381774747483	3.16947199107254	0.00152716176347109	0.0183470236363861
Rasgrp1	13.9934109624892	7.45450712164017	1.8939311461061	3.93599690092565	0.0000828520418384888	0.00171671403357012
BC021614	13.0476254472357	7.35627471596336	2.01987160251349	3.64195165019862	0.000270578900392122	0.00462842826665837
Gnao1	12.8482848681994	7.34404593369281	1.91065709540842	3.84372787317076	0.000121179373769779	0.00238656520561585
Nos3	12.881622155259	7.33270011323906	1.9964305319399	3.67290521554686	0.000239808451585222	0.00423205688196784
Fam83f	12.6848129826835	7.3186438801645	1.96598726643166	3.72263035734108	0.000197158059221983	0.0035838496300351
Prtn3	12.3813545516147	7.27859254706952	2.45804493209777	2.96113079627789	0.00306511739900331	0.031826021374886
Cyp27a1	12.2850136772066	7.26359193596657	2.56033449563125	2.83696991481409	0.00455439032807501	0.0427327027817497
Egfl6	11.977879397026	7.25142806262468	2.34258999392882	3.09547470168398	0.00196498134602889	0.0223350206221276
Tmem247	11.94110753701	7.22321369375013	2.54665332880922	2.83635531072759	0.00456316491476708	0.042786200857385
Vpreb1	11.6356400031693	7.20287018570108	1.92780129724072	3.73631359000049	0.000186737765560447	0.00342573998374659
