gene_symbol	ICM_1_FPKM	ICM_2_FPKM	ICM_3_FPKM	ICM_4_FPKM	TE_1_FPKM	TE_2_FPKM	TE_3_FPKM	TE_4_FPKM
Xkr4	0.0	0.524646	0.044642	0.0	0.10554	0.0	0.025892	0.0
Rp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sox17	4.078129	0.918028	1.901545	2.000228	0.32489	0.0	0.145482	0.582551
Mrpl15	19.071693	16.725788	16.545515	15.179732	15.421673	7.178525	15.494498	12.369168
Lypla1	31.343256	18.622507	31.756357	35.726845	25.013102	23.893915	33.2798	29.029074
Tcea1	14.879881	37.8382	8.828301	16.067625	12.234903	8.697651	12.94457	15.179341
Rgs20	1.313691	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atp6v1h	35.277729	33.06794	68.658272	63.350941	49.715626	38.051159	58.255638	57.134895
Oprk1	0.341072	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Npbwr1	0.0	0.0	0.0	0.0	0.20717	0.0	0.0	0.0
Rb1cc1	18.556786	22.45318	30.744865	34.052917	41.873756	38.2188	49.858585	46.254944
Fam150a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
St18	0.0	0.0	0.287819	0.0	0.018579	0.0	0.0	0.013273
Pcmtd1	28.608301	23.215279	29.750919	41.899342	20.527119	9.190003	21.649103	20.162479
Sntg1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rrs1	15.79581	15.957898	12.633218	11.658953	18.066835	6.891396	10.510918	9.888528
Adhfe1	1.114403	0.204873	0.634342	0.364796	0.340603	0.20361	0.40864	0.299625
2610203C22Rik	0.0	0.0	0.0	0.0	0.132025	0.0	0.154189	0.217291
3110035E14Rik	0.0	0.0	0.0	0.0	0.184558	0.0	0.0	0.0
Mybl1	7.381567	1.90036	3.203507	3.018649	5.587834	4.893885	2.429432	2.363926
Vcpip1	9.384009	8.74909	13.543655	14.13284	15.882404	11.633796	18.056185	14.957923
1700034P13Rik	0.255101	0.250728	0.666939	0.0	0.0	0.0	0.0	0.659177
Sgk3	0.0	4.857281	8.606576	6.991003	0.068558	8.291739	0.292254	0.040631
Mcmdc2	1.014244	0.63199	0.247666	0.410203	0.463557	0.244766	0.485982	0.201928
Snhg6	18.692509	16.556011	25.666761	36.313248	31.060492	24.23579	16.905413	20.107588
Snord87	8.129554	5.169331	11.982978	10.616404	7.528462	8.929062	2.555088	7.299435
Ppp1r42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cops5	154.490707	209.2397	230.190125	247.598724	168.348923	180.826859	258.194977	240.871994
Cspp1	10.714542	6.56764	12.958055	13.534219	10.968699	9.331621	12.35697	10.958918
Arfgef1	32.679123	23.343857	36.153019	39.867741	30.089386	25.350327	34.28928	28.030476
Cpa6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prex2	0.020869	0.101052	0.106049	0.19858	0.0	0.030559	0.167834	2e-05
A830018L16Rik	0.67184	0.448702	0.626204	0.152051	0.355841	0.138989	0.335627	0.253403
Sulf1	0.17232	0.0	0.139078	0.0	0.318876	0.0	0.079854	0.192858
Slco5a1	0.356619	0.723913	0.207003	0.771754	0.550021	0.929555	0.335578	0.314859
Prdm14	3.405006	1.900842	4.867851	6.954816	0.541604	0.576865	0.984292	0.963317
Ncoa2	2.26445	0.15003	8.013229	4.978901	3.75734	7.222042	4.218037	7.211543
Tram1	49.131344	48.286789	52.283047	57.231064	49.489006	44.628666	57.934155	50.968712
Lactb2	83.424355	68.640404	73.290703	84.868271	53.153408	70.078499	68.332405	66.661469
Xkr9	1.607121	3.138198	0.630551	3.751785	0.907201	0.482097	1.544391	1.973674
Gm5523	0.211941	0.0	0.063588	0.0	0.088016	0.0	0.078887	0.031439
Eya1	1.225691	1.864402	2.392028	0.995294	0.214201	0.536747	0.656141	0.268379
Msc	1.38028	14.224275	11.12234	15.996008	4.554	4.1892	8.261455	7.511046
Trpa1	1.933907	0.968932	2.180855	1.51846	0.24505	0.07734	0.411345	0.183739
Kcnb2	0.0	0.0	0.0	0.0	0.0	0.0	0.132668	0.066119
Terf1	44.643372	45.592041	55.313824	61.914883	43.821018	28.761808	50.403893	47.63905
Sbspon	1.400919	0.598448	1.196901	0.289005	0.256508	0.188686	0.470718	0.303057
4930444P10Rik	4.049662	3.709464	0.4271	0.415247	0.456661	0.0	0.621172	1.380503
Rpl7	506.698669	494.600311	591.740784	514.987976	534.246521	534.456116	562.174683	521.814087
Rdh10	19.493021	11.473172	15.847982	17.057688	16.374876	13.147717	11.449347	15.664469
Stau2	0.59882	0.326077	2.056849	2.086693	0.677703	1.631524	3.451728	0.643358
Ube2w	3.918909	3.49012	6.529244	6.25053	4.266276	2.510736	5.722675	4.746911
Tceb1	206.841507	160.168076	297.766022	263.464905	225.385147	296.427673	259.671173	237.167404
D030040B21Rik	0.0	0.267359	0.0	0.208472	0.333457	0.0	0.047096	0.0
Tmem70	7.332357	23.262323	11.235552	1.055247	10.324993	7.34985	10.028633	4.30961
Ly96	0.0	1.997573	3.463043	1.719205	1.75518	0.0	1.018035	2.024605
Jph1	3.458653	5.795056	3.326711	7.483707	3.30022	4.295849	4.205797	3.5237
Gdap1	0.0	0.0	0.093878	0.076295	0.0	0.0	0.098919	0.138394
Pi15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022073
Crispld1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08266
Crisp4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Defb44-ps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Defb18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Defb41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm15386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tfap2d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tfap2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pkhd1	0.0	0.0	0.0	0.0	0.01412	0.0	0.02466	0.023219
Mir206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir133b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
