gene_id	C4_e1_c1_count	C4_e1_c2_count	C4_e1_c3_count	C4_e1_c4_count	C4_e2_c1_count	C4_e2_c2_count	C4_e2_c3_count	C4_e2_c4_count	C4_e3_c1_count	C4_e3_c2_count	C4_e3_c3_count	C4_e3_c4_count	C8_e1_c1_count	C8_e1_c2_count	C8_e1_c3_count	C8_e1_c4_count	C8_e1_c5_count	C8_e1_c6_count	C8_e1_c7_count	C8_e1_c8_count	C8_e2_c1_count	C8_e2_c2_count	C8_e2_c3_count	C8_e2_c4_count	C8_e2_c5_count	C8_e2_c6_count	C8_e2_c7_count	C8_e2_c8_count
Plekhg2	0	0	0	0	0	12	0	0	481	0	3	0	823	519	0	488	75	0	0	0	4	384	540	313	29	156	0	0
Plekhg3	233	9	77	0	161	74	409	0	457	222	54	0	128	68	439	831	57	239	1140	797	811	523	29	21	143	585	337	157
Plekhg1	0	32	0	0	0	288	0	873	0	0	0	0	0	0	5	26	0	0	0	0	0	0	0	0	0	0	0	0
Plekhg6	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	115	0	0	0	0	156	70	190	334	167	0	0
4930592I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekhg4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekhg5	8	55	0	393	4	344	41	197	276	627	226	0	36	973	296	9	211	1002	1236	0	1121	330	460	109	0	1111	191	706
Nsa2	1669	2746	2838	1354	1103	1607	3568	1733	3527	2653	940	4075	1412	2633	2046	1643	1382	3435	3893	3063	2836	2635	838	2226	1444	1791	1321	1873
Nampt	632	2298	1652	1110	2963	640	2233	12	4463	2282	670	882	4	1126	199	275	1097	8	1399	38	1741	1037	233	879	36	716	876	755
Vmo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F930015N05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4931406P16Rik	296	155	1814	751	747	237	620	549	906	435	419	588	236	0	0	258	148	161	104	360	367	252	560	100	260	501	207	110
Mir302d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930564K09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mier1	365	0	275	114	217	220	497	34	623	764	124	238	260	289	696	274	198	1064	61	449	446	392	541	232	2	129	292	377
Mier2	1228	0	0	0	77	308	458	55	15	236	408	0	1276	920	0	0	261	0	885	0	0	342	0	222	0	0	47	35
Mier3	13539	22397	13685	11876	26625	20446	19712	11105	39287	22694	16646	26552	12778	15737	12913	5496	9869	10946	14105	14617	14444	30986	11254	21645	8123	25029	5874	12479
Aqp11	1901	186	640	2659	1904	1134	2815	2508	4222	1229	396	472	58	1920	416	12	0	13	3662	357	15	340	293	322	35	2077	122	501
Aqp12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810010H24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0
Dag1	991	0	0	0	108	0	151	1102	0	344	0	20	25	0	356	0	0	15	0	67	0	237	76	38	0	0	0	0
Myadm	321	282	626	106	5	250	1627	1306	1705	11	583	348	9925	7479	3477	1082	3269	2698	11165	9647	1505	2510	2563	8202	7285	4711	2939	5174
Sacs	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	631
Zfp710	104	157	816	541	654	134	159	766	41	0	0	2	367	1588	166	262	793	655	0	0	339	406	608	616	53	578	141	614
Zfp711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp715	0	40	296	0	0	0	0	396	0	0	119	0	556	0	0	0	0	228	0	0	0	159	190	0	0	47	0	0
Mllt4	468	1167	1065	0	323	282	703	8	252	153	70	1073	0	272	918	370	68	108	352	74	306	763	764	734	1057	502	323	431
Mllt6	0	5	3	7	0	0	0	0	0	0	161	4	0	0	574	578	1087	264	71	4	0	141	519	656	1041	405	22	458
Zfp719	23	87	0	0	0	0	0	0	690	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	952	218	0
Mllt1	0	90	0	0	31	163	24	50	0	22	0	1034	0	0	172	227	3	68	0	1521	143	212	375	4	4	202	0	386
Mllt3	362	328	202	10	321	462	1014	89	610	105	174	940	0	0	0	0	0	214	6	4	0	50	15	75	0	93	0	0
Btg4	1140	687	61	520	2009	912	1230	2309	243	817	398	545	0	0	0	0	71	0	0	0	0	0	0	176	0	0	194	0
Btg3	1465	206	1	711	1195	249	38	444	337	413	292	1702	121	0	0	0	0	0	135	332	29	44	93	92	0	104	225	5
Btg2	0	0	0	0	0	146	217	0	0	0	66	4	0	0	0	6	0	651	4	0	777	250	136	98	212	306	404	499
Btg1	2972	3392	2224	2260	307	1600	1439	2862	1523	690	93	528	967	977	3867	3872	528	506	2268	1055	4916	872	1789	1953	964	2775	419	428
Smok3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smok3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nupl1	1	361	626	6	213	230	332	16	392	4	502	32	1109	0	0	207	329	274	8	0	747	174	446	548	155	0	117	0
Nupl2	15	53	114	0	19	0	62	404	171	0	0	0	8	268	347	352	0	8	148	0	0	0	44	78	0	352	0	122
Ttc30a2	0	0	34	13	0	16	0	2	0	0	0	0	0	31	0	0	6	0	0	0	0	14	0	14	0	0	0	0
Npat	364	304	161	820	3759	491	1332	190	1614	476	543	1227	824	1168	5	340	231	121	375	394	3290	1372	1565	1285	1871	1035	261	855
Ttc30a1	553	0	11	316	0	154	0	0	0	0	0	4	0	0	0	0	2	1	0	0	0	258	4	248	0	13	0	0
Gga1	1726	541	224	0	172	12	481	132	760	667	113	0	4	0	727	78	177	258	0	0	11	257	526	164	218	0	204	47
Gga3	0	316	224	374	23	99	285	27	946	504	0	715	442	0	175	0	165	0	0	0	0	63	21	239	0	113	64	194
Gga2	1367	32	415	282	939	304	743	0	150	1878	224	114	1766	0	437	1797	1230	1926	905	710	2356	2077	1025	1208	997	1903	897	1189
Sorbs1	437	19	141	286	553	73	576	369	40	835	773	3	2003	1362	986	400	861	1468	727	2410	5091	1614	1012	1144	2361	995	723	925
Sorbs3	0	4	0	0	0	0	110	0	0	0	0	0	0	0	0	0	275	0	125	0	0	550	0	0	0	0	260	0
Sorbs2	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0
Tshz2	0	0	0	0	257	19	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tshz3	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tshz1	0	0	0	0	0	0	0	0	164	0	129	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0
Speer4d	0	5	40	88	0	7	23	0	0	0	0	12	0	0	0	19	0	163	0	0	0	0	0	5	0	5	0	0
Speer4e	0	0	3	148	3	0	44	0	0	0	20	0	0	0	0	0	0	15	0	0	0	0	0	16	0	26	0	0
Speer4f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Speer4a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Speer4b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef28	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
Trnt1	6223	2090	5766	2380	5474	2537	2831	2368	1992	2137	1078	2695	3249	3797	1008	4450	1360	1549	4221	3211	6484	2116	2063	1273	844	1167	1136	2395
Arhgef26	62	0	31	208	0	0	0	0	0	0	43	4	0	0	0	127	0	5	501	0	1068	0	0	0	785	0	5	0
Mkl1	3	0	0	0	0	0	0	0	0	0	0	0	83	697	0	0	115	0	0	0	0	408	0	4	0	116	0	309
Mkl2	158	0	0	4	838	180	0	27	0	561	0	0	0	172	60	0	23	3	0	474	264	56	40	86	159	49	50	474
Lmna	102	1977	1043	466	187	339	1236	12	0	1043	715	358	404	1143	810	809	33	1141	16	1851	1106	554	215	420	1696	841	574	1978
Fndc3c1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0
Sorcs1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sorcs2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sorcs3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trim34a	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0
Trim34b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prepl	263	302	0	0	0	223	0	315	533	196	358	6	4	0	142	214	36	35	0	0	314	361	62	619	82	277	241	0
4933412E24Rik	0	0	0	0	0	0	0	0	620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdhr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
Cdhr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdhr3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdhr5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	43	0	0	0	0	0
Tcof1	822	1050	833	750	218	675	372	110	1049	836	574	879	630	2211	521	1439	744	502	20	1224	1509	1343	148	810	225	1616	258	500
Prmt10	630	250	0	89	1653	302	4	0	74	0	56	1381	658	97	399	1587	105	12	1698	843	201	1308	988	239	36	1015	27	962
Olfr523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0
Olfr522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0
Olfr521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zik1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	835	0	0	0	0	0	0	0	0	0	0
Usp8	179	1293	190	1160	160	599	1214	1429	355	102	539	4	1276	316	982	75	193	1413	1533	770	12	966	604	259	1450	1100	250	271
Usp1	7397	4091	2976	4332	10450	9482	13348	8403	12309	6139	6681	10471	8172	1637	3947	3919	5824	2762	10511	5590	13396	15588	8307	9976	5346	13389	5996	6937
Usp2	0	0	0	0	0	423	155	0	0	152	88	0	0	0	370	0	0	0	0	0	1354	102	0	9	8	473	23	0
Usp3	0	0	740	401	371	19	0	0	0	450	0	303	46	89	0	0	0	13	0	92	0	0	133	29	83	556	0	181
Usp4	4	48	0	256	696	331	0	0	83	4	563	505	0	250	0	0	353	10	216	467	193	590	1026	135	0	203	453	896
Usp5	305	736	0	0	77	10	236	890	26	305	4	89	0	317	874	1268	1213	666	3076	0	28	536	915	966	1344	264	212	254
Usp7	6930	4681	4436	3179	3229	4436	3829	3332	10830	3862	4084	9298	1280	2753	3810	2198	1974	6552	2492	2207	4405	5822	6456	5844	2297	5710	2746	3342
Rpl38	5816	4915	4777	6823	6020	4730	6675	2851	14804	11301	7659	12346	13271	26625	22282	21039	18074	43763	21724	26819	10317	15405	15650	14309	10361	11260	13155	16079
Rpl39	12500	12124	10003	11598	5444	3794	8205	5493	23568	21310	11550	22929	10439	14738	18744	15616	10592	12301	12566	16100	15044	28447	22639	27238	15094	27728	17210	22753
Rpl36	1713	2318	1352	1918	2605	2060	4535	2289	7897	3328	5168	5866	9065	13743	11678	12791	11584	23502	13959	19413	5366	10361	10489	8794	6105	7505	10590	13016
Rpl37	6018	7960	5605	8729	7207	6106	9773	3558	19524	12628	10067	15015	9379	16548	19307	19521	19623	41452	20297	24181	11211	16294	12926	12989	11540	12827	15323	20180
Rpl34	6800	6973	2154	7029	6113	4774	8595	3354	8567	7421	5617	8355	8556	16358	19037	21188	16552	28235	13027	19562	8854	11417	10463	10973	13384	8924	13699	13792
Rpl35	4851	6743	5169	7403	7063	7206	11148	5168	13432	9214	10094	13634	13824	32251	20489	30818	19790	62839	25270	29142	15136	15553	14827	16505	12012	15911	15286	20157
Rpl32	8051	8426	9604	9656	12908	9761	15869	8388	29477	22341	14681	24747	24111	36111	37153	40998	29323	40851	47605	42881	23006	26294	32760	28266	20877	25783	31018	26270
Rpl30	4584	5849	3940	6221	9852	5925	9718	7384	16588	13608	7074	12070	10568	18378	18938	22038	17903	27809	20078	27368	12102	15018	17278	15572	11952	13583	12506	17092
Rpl31	2369	2046	2424	2742	3220	2391	5823	1821	9021	4621	4999	4360	6421	15338	11155	13403	7619	19675	13719	14294	5451	7539	7865	7525	5123	7420	8085	9451
Anp32e	5553	5003	3607	2314	6093	2120	5085	3952	2257	741	1676	2612	2789	1534	1521	894	468	1353	3748	2754	4183	3714	2075	2868	3441	1899	2067	547
Fam13b	103	0	2048	212	0	478	65	0	1074	0	109	78	250	0	642	235	262	9	1365	72	1203	666	20	104	1178	1241	297	4
Fam13c	0	0	0	0	0	0	17	0	0	20	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam13a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bcas2	160	1974	360	1082	1696	1516	1653	2129	4216	2994	1877	5810	8087	6232	4760	7709	3925	8188	3643	11958	2636	6514	7449	4200	4965	5973	2337	2560
Bcas3	4538	2495	1342	2767	2403	1878	2243	1952	3591	4197	2115	4363	2793	6275	7181	6053	6717	8175	5593	4504	7910	8341	5739	5488	4739	5451	5999	5946
Bcas1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm8369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC089491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hist3h2ba	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Mlycd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	3
Hist4h4	1039	0	0	0	0	0	0	0	7	64	0	0	0	0	320	0	0	0	0	0	654	0	538	4	4	4	0	0
Rpl3l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0
Ttbk2	0	38	0	7	362	0	0	258	0	800	0	78	0	0	0	0	0	536	0	0	0	18	0	0	683	6	169	14
Gm10046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttbk1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	180	0	0	0	0	0	0	0	0
Ncor2	0	0	0	0	211	0	0	0	0	0	57	0	0	0	0	0	0	565	0	0	0	0	0	0	0	0	0	0
Ncor1	52	232	458	474	212	658	1024	273	231	580	93	1195	688	333	197	55	225	1149	4	36	503	589	306	1135	496	137	394	308
1810010D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pebp1	3501	1745	2454	1864	6741	2630	8078	5081	4170	6825	3041	5555	2003	1717	991	2088	2024	1845	1829	4253	3637	3865	2392	4530	1473	4705	1746	643
Gkn1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gkn2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gkn3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magohb	27	594	193	388	945	715	711	729	553	650	367	1515	748	981	717	64	551	1115	551	1292	744	1131	1429	649	750	523	255	558
Abhd17b	0	0	0	0	0	78	150	0	524	272	0	50	0	0	0	0	0	0	0	0	0	61	78	207	0	0	0	0
Ppme1	566	0	0	0	20	0	0	0	875	0	0	4	104	0	0	0	136	0	928	118	841	228	1095	0	0	395	235	292
Gltpd2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gltpd1	472	1984	846	759	2749	577	1980	2806	1233	1330	228	780	938	0	4	1826	6	0	108	0	842	514	501	794	0	0	4	0
Gm19276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrriq1	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrriq3	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0
Lrriq4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15760	0	0	0	0	0	0	0	0	760	0	47	0	0	66	0	0	0	0	39	0	0	0	0	0	0	0	27	0
Vmn2r81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tinf2	2715	1331	5066	2901	333	739	863	833	550	3481	877	895	3060	3983	1572	482	1017	12	2798	1403	1175	1892	1759	1359	1730	1938	1229	1270
Vmn2r88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Egf	14	131	270	0	0	4	0	0	0	0	0	0	72	22	22	7	0	0	40	0	0	77	5	9	632	0	0	0
