MII_1_ratio	MII_2_ratio	MII_3_ratio	MII_4_ratio	MII_5_ratio	MII_6_ratio	MII_7_ratio	MII_8_ratio	MII_9_ratio	MII_10_ratio	MII_11_ratio	MII_12_ratio	MII_Bulk_ratio	X2i_1_ratio	X2i_2_ratio	X2i_3_ratio	X2i_4_ratio	X2i_5_ratio	X2i_6_ratio	X2i_7_ratio	X2i_8_ratio	X2i_9_ratio	X2i_10_ratio	X2i_11_ratio	X2i_12_ratio	X2i_Bulk_ratio	Ser_1_ratio	Ser_2_ratio	Ser_3_ratio	Ser_4_ratio	Ser_5_ratio	Ser_6_ratio	Ser_7_ratio	Ser_8_ratio	Ser_9_ratio	Ser_10_ratio	Ser_11_ratio	Ser_12_ratio	Ser_13_ratio	Ser_14_ratio	Ser_15_ratio	Ser_16_ratio	Ser_17_ratio	Ser_18_ratio	Ser_19_ratio	Ser_20_ratio	Ser_Bulk_ratio	MII_2D_ratio	MII_5D_ratio
Plekhg2	NA	0.25	0.25	0	0	0	0.25	0	0.25	0.25	0	0.5	0.25	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	NA	0.25	0	0	0.25	0.25	0	0	0	0	0.25	0
Plekhg3	0	0	0.25	0	0.25	0.25	0	0.75	0	0.25	0.75	0	0.25	0	0.5	0.25	0	0.25	0	0.25	0.25	0	0	0	0.5	0	0	0.5	0	0	0.25	0	0.25	0	0.25	0.25	0	0.5	0	0	0.25	0	0.5	0	0	0.25	0	0	0
Plekhg1	0	0	0	0	0	0.25	0	0	0.25	0	NA	0.25	0	0.75	0	0.5	0.25	0.25	0.25	0.5	0.25	0.25	0	0	0.25	0	0.5	0.25	0	0.25	0.25	0	0.5	0.5	0.5	0.25	0.25	0.25	0.5	0.25	0.5	0.25	0.5	0.25	0.25	0	0.25	0	0
Plekhg6	0	0	0	0	0	0	0	0	0.25	0.25	0.75	0	0	0.25	0.25	0.5	0.75	0.25	0.25	0.25	0.25	0.25	0	0.25	0.5	0	0.5	1	0	0.5	0.5	0	0.25	0.25	0.25	0.5	1	0.75	0.75	0.75	0.5	0.25	0.5	0.25	0.25	0.5	0.25	0	0
4930592I03Rik	0.25	0	0	0	0	0	0	0.25	1	0	0	0	0.25	0	NA	NA	NA	0.25	0	NA	0	0	0.5	0	0.75	0.25	1	1	0.25	0.5	0	0.5	0.75	1	0.5	0.75	1	1	1	0.75	0.75	0.75	0.75	1	0.75	1	0.75	0	0
Plekhg4	1	0.5	0.5	0.5	0.25	0.5	1	0.25	0.25	1	0.25	0	0.5	0.5	0.75	0.5	0.25	0.5	0.75	0.5	0.25	0.25	0.5	0.25	0.5	0.25	1	0.75	0.5	0.75	0.75	0.25	1	0.5	1	0.5	0.25	0.5	0.5	0.5	0.75	0.5	0.75	1	0.25	0.5	0.5	0.5	0.5
Plekhg5	0	0.25	0.25	0	1	0	0	0	0.75	0	0.25	0.25	0.5	0.25	0	0	0	0.5	0.25	0	0	0	0	NA	0	0	0.25	0.25	0	0.25	0.25	0	NA	0.25	0	0.25	0.25	0.25	0.25	0.25	0	0	0.25	0	0	0	0.25	0.25	0.5
Nsa2	NA	0	0.25	0	0	0	0	0.5	0	0.25	NA	0	0.25	0.25	NA	0	0	NA	0	0	NA	0	0.5	0	0	0	0	0.25	0.75	0	0	0	NA	0	0.25	0	0	0.25	0.25	0	NA	0.25	0.75	0.25	0.75	0	0.25	0.25	0
Nampt	0	0	0	NA	0	0	0	0	0	0	0.5	0	0	0	0.75	0	0	0.75	0.25	0.25	0	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0.5	0	0.25	0.25	0	0	0.5	0	0	0.25	0	0	0	0
Vmo1	0	0	0	NA	0	0	NA	NA	0	0.25	0	0	0	0	NA	NA	0.25	0.75	NA	0	NA	0.5	0	0.25	0.5	0.25	1	1	0.25	1	0.75	0.25	1	0.75	0.75	0.75	1	NA	NA	0.75	0	0.5	0.75	1	0.5	NA	0.75	0	0
