F_4C_1_1	F_4C_1_2	F_4C_1_3	F_4C_1_4	F_4C_2_1	F_4C_2_2	F_4C_2_3	F_4C_2_4	F_4C_3_1	F_4C_3_2	F_4C_3_3	F_4C_3_4	F_4C_4_1	F_4C_4_2	F_4C_4_3	F_4C_4_4	PS_4C_1_1	PS_4C_1_2	PS_4C_1_3	PS_4C_1_4	PS_4C_2_1	PS_4C_2_2	PS_4C_2_3	PS_4C_2_4	PS_4C_3_1	PS_4C_3_2	PS_4C_3_3	PS_4C_3_4	PS_4C_4_1	PS_4C_4_2	PS_4C_4_3	PS_4C_4_4	PS_4C_5_1	PS_4C_5_2	PS_4C_5_3	PS_4C_5_4
Plekhg2	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekhg3	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekhg1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekhg6	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930592I03Rik	0	0	0	0	0	0	0	0.25	0	0	0	NA	0	0	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0.25	0	0	0	0	0	0
Plekhg4	0	0.25	0.25	0.25	0.25	0	0	0.25	0.25	0.25	0.25	0	0.5	0.25	0.25	0.25	0.25	0.25	0.5	0	0.25	0.25	0.25	0.5	0.25	0.25	0	0.25	0.5	0.5	0.25	0.25	0	0	0	0
Plekhg5	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0.25	0	0.25	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0.25	0.5	0	0.25	0.25	0.25	0.25	0.25
Nsa2	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0
Nampt	0	0	0	0	0	0	0	1	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmo1	0	0	0	0	0	0	0	0	0	0.25	0	NA	0	0.25	0	0	0	0.25	0.25	0	0	0	0	NA	0.25	0	0	0	0	0	0	0	0	0	0.25	0
Man2a1	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F930015N05Rik	0.25	0.5	0.5	0.5	1	0.25	0.25	0	0.5	0.5	0.25	1	0.5	0	0.25	0.25	0	0	0.25	0	0.25	0.25	0.25	0.5	0.25	1	0.75	0.5	0.25	0	0.5	0.25	0	0.25	0	0
4931406P16Rik	0.25	0	1	0.75	0.25	0	1	0.5	0.75	0.75	NA	NA	1	0.25	0.5	0.25	0	0.5	1	0	0.75	0.75	0.25	0	0.75	0.25	0.75	0.25	1	0.5	0.75	0.25	0.25	0.25	0	0.75
Vwf	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0
Mier1	0	0.25	0	0	0	0.25	0.5	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0
Mier2	0	0.5	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mier3	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0
Aqp11	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aqp12	0.25	0.5	0.5	0.5	0	0	0.5	0.75	0.5	0.75	0.5	0.5	0.25	0.5	0.25	0.25	0	0.25	0.25	0	0.25	0.25	0.25	0.5	0.25	0.25	0.25	0.25	0	0	0.25	0.25	0.5	0	0.25	0.75
1810010H24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl31-ps12	0	0.75	0.25	1	1	0.25	0	NA	0.5	0.25	0.25	NA	1	1	0.75	0.5	0.5	0	0.75	0.5	0.5	0.25	0.25	0.25	0.5	0.5	0.25	0.75	0	0.5	0.25	0.5	0	0.75	0.5	0.75
Dag1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myadm	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15008	0.25	0.25	0	0	0	0	0	0.25	0	0	0	NA	0	0	0	0	0	0	0.75	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
Sacs	0.25	0.25	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0	0.75	0	0	0	0.25	0.25	0	0	0	0.5	0	0	0	0.25	0	0	0
Zfp712	0	0.25	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0
Zfp710	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp711	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp715	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mllt4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mllt6	0.5	0	0	0	0	0	0	0	0	0	0	NA	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mllt1	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mllt3	0	0.25	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btg4	0.25	0	0	0	0	NA	0	NA	0	0	0	NA	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0.5
Btg3	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btg2	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0
Btg1	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smok3a	1	0	0.5	0	0	0	0	0	0.25	0.25	0	NA	0.25	0.5	0.25	0	0	0	0.5	0.25	0.25	0	0	0.25	0	0	0	0	0.25	0	0.25	0	0.25	0.25	0.25	0.25
Smok3b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25
Nupl1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nupl2	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxd3os1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc30a2	0	0	0	0	NA	0	0	0	0	0	0	NA	0	0	0	0	1	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0
Npat	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc30a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0
Gga1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gga3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018C11Rik	0	NA	0.25	0.25	0.5	1	NA	0.75	0.5	0	0.25	NA	0.75	0.25	0.25	0.25	1	0.25	1	NA	0.75	0.75	0.75	0.75	0.75	0	0.5	1	0.75	0.5	0.25	1	0.75	0.75	0.75	0.5
Sorbs1	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0	0.25	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0	0.25	0	0.25	0.25	0	0	0	0	0	0.25
Sorbs3	0.75	0.25	0.75	0.5	0.75	0.5	0.5	0.25	0.75	0.75	0.5	0.5	0.25	0.25	0.5	0.5	0.25	0.25	0.25	1	0.25	0.75	0.75	0.75	0.5	0.5	0.5	0.5	0.75	0.5	0.75	0.5	0.5	0.25	0.75	0.5
Sorbs2	0	0	0	0	0	0.25	0	0	0	0	0.25	NA	0	0.5	0	0	0	0.75	1	0	0	0.25	0.25	1	0	0.5	0.25	0.25	0	0.25	0.25	0	0	0.25	0.25	0
Tshz2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tshz3	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Murc	0	0.25	0.25	0.25	0.25	0	0.25	0	0.25	0	0	NA	0.5	0.25	0.25	0.25	0.5	0.5	0.25	NA	0	0	0.25	0	0	0.25	0	0.25	0	0	0	0	0.5	0.5	0.5	0.25
Speer4d	0	0	0.25	0.25	0	0.25	0	0.5	0	0	0	NA	0.25	0	0.25	0	0	0.5	0	0.25	0.25	0	0	0	0	0.25	0.25	0.25	0.5	0.25	0.5	0.25	0	0	0	0.25
Speer4e	0	0.25	0.25	0.25	0.5	0.75	0.5	1	0	0	0.25	NA	0	1	0	0.25	NA	NA	NA	0	0.5	0.25	1	0.25	0.25	1	0.75	0.75	0.5	0.25	0	0.25	0.5	0.5	0.75	0
Speer4f	0	0.75	0	0.25	1	0.25	0.5	NA	0.75	0	0	1	0.75	1	0	0.25	1	0.25	0.25	0.75	0	0.5	0.75	0.25	0.5	0.5	0.5	0.5	0.25	0	0.25	0.5	0	NA	0.5	0
Speer4a	0	0	0	0	NA	1	0.25	0.25	0	0.25	0	NA	0	0	0	0	0.25	0	0.5	NA	0	0	0.25	0.5	0	0	0	0	0	1	0.5	0.75	0.25	0	0.25	0.25
Speer4b	0	0.25	0.25	0	0.25	1	0.25	0	0.25	0.25	0	NA	0	0	0	0	1	NA	0.25	0.75	0.25	0.5	0.25	0.75	0	0	0.75	0.25	0	0	0	0.5	0.25	0.25	0.25	0.25
Speer4c	0	0	0	0	0.5	0.25	0.25	0.5	0	0.5	0	NA	0	0	0	0	0.25	0.25	0	0	0	0	0	0.25	0	0	0.25	0.5	0	0.25	0.25	0	0	0	0.25	0.25
Arhgef28	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102632430	0	0	0.75	0	0	0	0	0	0	0	0	NA	0	0.25	0	0	0.25	0.25	0	0.25	0.5	0.5	0.25	0.25	0	0	0	0.25	0.25	0.25	0.25	0.5	0	0	0	0.5
Mir692-2b	0	0	0.25	0	0	0.25	0.25	0	0.25	0	0.25	NA	0	0	0	0	0.25	0	0	0.25	0	0.25	0	0	0.25	0.25	0.25	0	0	0.25	0	0.25	0	0	0	0
Trnt1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0
Arhgef26	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
