DeNovoMethylation_u	DeMethylation_d	SemiMethylation_p
0.056289	0.63905	0.322834
0.033664	0.294938	0.694787
0.04602	0.396079	0.584814
0.083499	0.604211	0.340742
0.05769	0.5396	0.427365
0.056507	0.543098	0.424376
0.051299	0.414124	0.563483
0.043783	0.420761	0.559976
0.01751	0.549793	0.440409
0.040648	0.783547	0.183254
0.02013	0.456641	0.533978
0.027344	0.301292	0.690238
0.01182	0.396	0.599263
0.018504	0.525718	0.464371
0.012374	0.479006	0.514992
0.024682	0.480989	0.506839
0.022422	0.402936	0.831153
0.030725	0.287854	0.703021
0.033532	0.268448	0.722238
0.056554	0.230472	0.755709
0.032525	0.262151	0.729032
0.03709	0.310641	0.690838
0.032088	0.413235	0.821243
0.026086	0.419363	0.836439
0.032425	0.411761	0.574441
0.037158	0.150558	0.843632
0.04145	0.445642	0.535087
0.05291	0.27361	0.711104
0.034268	0.451319	0.532667
0.019851	0.419405	0.682116
0.040339	0.216202	0.774713
0.035583	0.384533	0.601279
0.01751	0.549793	0.440409
0.040648	0.783547	0.183254
0.02013	0.456641	0.533978
0.027344	0.301292	0.690238
0.01182	0.396	0.599263
0.018504	0.525718	0.464371
0.012374	0.479006	0.514992
0.024682	0.480989	0.506839
