DeNovoMethylation_u	DeMethylation_d	SemiMethylation_p
0.031516	0.885887	0.085284
0.036843	0.981504	0.27807
0.018146	0.718535	0.268185
0.041044	0.935951	0.02399
0.008564	0.733596	0.260066
0.031988	0.805664	0.167717
0.020627	0.855569	0.126411
0.025835	0.817833	0.160477
0.018628	0.340054	0.653492
0.051852	0.754953	0.203761
0.051058	0.852413	0.101723
0.034822	0.843041	0.126543
0.046388	0.815817	0.144497
0.017899	0.721852	0.264993
0.076802	0.904121	0.020664
0.030163	0.776432	0.22079
0.016292	0.758703	0.228732
0.022253	0.138591	0.85825
0.044967	0.986125	0.334842
0.000207	0.458267	0.541638
0.031516	0.885887	0.085284
0.036843	0.981504	0.27807
0.018146	0.718535	0.268185
0.041044	0.935951	0.02399
0.008564	0.733596	0.260066
0.031988	0.805664	0.167717
0.020627	0.855569	0.126411
0.025835	0.817833	0.160477
0.018628	0.340054	0.653492
0.051852	0.754953	0.203761
0.051058	0.852413	0.101723
0.034822	0.843041	0.126543
0.046388	0.815817	0.144497
0.017899	0.721852	0.264993
0.076802	0.904121	0.020664
