DeNovoMethylation_u	DeMethylation_d	SemiMethylation_p
0.12582	0.136308	0.844073
0.133249	0.169786	0.804112
0.188047	0.151442	0.813484
0.235635	0.086943	0.886255
0.153681	0.159142	0.81196
0.157412	0.180307	0.786008
0.143539	0.188989	0.779338
0.171719	0.1099	0.867315
0.112848	0.190242	0.785558
0.122835	0.219876	0.749333
0.191005	0.170782	0.788896
0.217854	0.116316	0.851286
0.148967	0.202085	0.762542
0.153094	0.217307	0.743411
0.155014	0.202908	0.759868
0.161417	0.158601	0.81087
0.119249	0.174379	0.802011
0.125484	0.202966	0.76791
0.173787	0.174331	0.789
0.207502	0.125123	0.842116
0.147742	0.206735	0.757427
0.149477	0.203413	0.760837
0.146601	0.205498	0.759201
0.161799	0.153751	0.81657
0.113901	0.170567	0.807508
0.124388	0.194312	0.778084
0.183047	0.162245	0.801402
0.209042	0.114521	0.855212
0.144939	0.199926	0.766185
0.152358	0.18907	0.776946
0.139402	0.204134	0.7628
0.159263	0.154878	0.815783
0.12582	0.136308	0.844073
0.133249	0.169786	0.804112
0.188047	0.151442	0.813484
0.235635	0.086943	0.886255
0.153681	0.159142	0.81196
0.157412	0.180307	0.786008
0.143539	0.188989	0.779338
0.171719	0.1099	0.867315
0.112848	0.190242	0.785558
0.122835	0.219876	0.749333
0.191005	0.170782	0.788896
0.217854	0.116316	0.851286
0.148967	0.202085	0.762542
0.153094	0.217307	0.743411
0.155014	0.202908	0.759868
0.161417	0.158601	0.81087
0.119249	0.174379	0.802011
0.125484	0.202966	0.76791
0.173787	0.174331	0.789
0.207502	0.125123	0.842116
0.147742	0.206735	0.757427
0.149477	0.203413	0.760837
0.146601	0.205498	0.759201
0.161799	0.153751	0.81657
0.113901	0.170567	0.807508
0.124388	0.194312	0.778084
0.183047	0.162245	0.801402
0.209042	0.114521	0.855212
0.144939	0.199926	0.766185
0.152358	0.18907	0.776946
0.139402	0.204134	0.7628
0.159263	0.154878	0.815783
