DeNovoMethylation_u	DeMethylation_d	SemiMethylation_p
0.143787	0.131273	0.846682
0.153208	0.169631	0.799678
0.214253	0.155939	0.801541
0.275088	0.089224	0.876918
0.178929	0.166021	0.7978
0.186952	0.177773	0.78135
0.171057	0.194981	0.764784
0.192197	0.111088	0.862482
0.131725	0.195052	0.775357
0.143896	0.2227	0.739868
0.218184	0.184407	0.76413
0.259488	0.123075	0.833797
0.173184	0.211167	0.744602
0.183621	0.215762	0.735709
0.183413	0.208297	0.744918
0.184918	0.168767	0.792945
0.134635	0.181014	0.790824
0.14683	0.205229	0.759451
0.196715	0.181522	0.774025
0.244378	0.131461	0.826023
0.173107	0.215139	0.739823
0.178988	0.204354	0.751096
0.17441	0.209199	0.746607
0.185545	0.158159	0.805811
0.130035	0.177426	0.796054
0.14759	0.195963	0.770107
0.207467	0.175586	0.77845
0.246312	0.117092	0.844642
0.170073	0.204532	0.753555
0.181889	0.187069	0.77134
0.17004	0.207333	0.750189
0.179352	0.157431	0.808163
0.143787	0.131273	0.846681
0.153208	0.169631	0.799678
0.214253	0.155939	0.801541
0.275088	0.089224	0.876918
0.178929	0.166021	0.7978
0.186952	0.177773	0.78135
0.171057	0.194981	0.764784
0.192197	0.111088	0.862482
0.131725	0.195052	0.775357
0.143896	0.2227	0.739868
0.218184	0.184407	0.76413
0.259488	0.123075	0.833797
0.173184	0.211167	0.744602
0.183621	0.215762	0.735709
0.183413	0.208297	0.744918
0.184918	0.168767	0.792945
0.134635	0.181014	0.790824
0.14683	0.205229	0.759451
0.196715	0.181522	0.774025
0.244378	0.131461	0.826023
0.173107	0.215139	0.739823
0.178988	0.204354	0.751096
0.17441	0.209199	0.746607
0.185545	0.158159	0.805811
0.130035	0.177426	0.796054
0.14759	0.195963	0.770107
0.207467	0.175586	0.77845
0.246312	0.117092	0.844642
0.170073	0.204532	0.753555
0.181889	0.187069	0.77134
0.17004	0.207333	0.750189
0.179352	0.157431	0.808163
