DeNovoMethylation_u	DeMethylation_d	SemiMethylation_p
0.125713	0.137084	0.843204
0.135842	0.171797	0.801197
0.182649	0.158203	0.806445
0.226283	0.090193	0.883429
0.15365	0.166977	0.802709
0.162669	0.179877	0.785178
0.147349	0.195872	0.770279
0.16752	0.11181	0.86569
0.114045	0.20137	0.772709
0.127832	0.226908	0.739835
0.188355	0.18398	0.773325
0.217342	0.125701	0.839393
0.14845	0.209604	0.753856
0.157912	0.220285	0.738406
0.158282	0.212106	0.748008
0.161815	0.172407	0.794309
0.117567	0.185203	0.790122
0.130087	0.20917	0.759551
0.17035	0.185642	0.776241
0.20446	0.137254	0.827471
0.149105	0.215708	0.746493
0.155485	0.206759	0.755174
0.151399	0.210169	0.752335
0.161714	0.161808	0.806977
0.11348	0.180204	0.796729
0.130475	0.197462	0.772908
0.178106	0.175628	0.786313
0.207113	0.119292	0.849547
0.148046	0.206696	0.757385
0.158691	0.188109	0.77641
0.145918	0.209588	0.754604
0.157526	0.161366	0.808462
0.125713	0.137084	0.843204
0.135842	0.171797	0.801197
0.182649	0.158203	0.806445
0.226283	0.090193	0.883429
0.15365	0.166977	0.802709
0.162669	0.179877	0.785178
0.147349	0.195872	0.770279
0.16752	0.11181	0.86569
0.114045	0.20137	0.772709
0.127832	0.226908	0.739835
0.188355	0.18398	0.773325
0.217342	0.125701	0.839393
0.14845	0.209604	0.753856
0.157912	0.220285	0.738406
0.158282	0.212106	0.748008
0.161815	0.172407	0.794309
0.117567	0.185203	0.790122
0.130087	0.20917	0.759551
0.17035	0.185642	0.776241
0.20446	0.137254	0.827471
0.149105	0.215708	0.746493
0.155485	0.206759	0.755174
0.151399	0.210169	0.752335
0.161714	0.161808	0.806977
0.11348	0.180204	0.796729
0.130475	0.197462	0.772908
0.178106	0.175628	0.786313
0.207113	0.119292	0.849547
0.148046	0.206696	0.757385
0.158691	0.188109	0.77641
0.145918	0.209588	0.754604
0.157526	0.161366	0.808462
