DeNovoMethylation_u	DeMethylation_d	SemiMethylation_p
0.05435	0.140781	0.851128
0.051811	0.226208	0.761431
0.066092	0.206836	0.778534
0.083881	0.135276	0.852338
0.053459	0.31711	0.66498
0.059532	0.197432	0.79007
0.053346	0.26354	0.721609
0.065997	0.140972	0.849067
0.025761	0.384871	0.604953
0.036306	0.420234	0.563934
0.052254	0.381775	0.597176
0.058256	0.344411	0.634284
0.032868	0.324766	0.664197
0.03591	0.29862	0.690257
0.035552	0.376532	0.609588
0.048064	0.436995	0.54094
0.03575	0.33394	0.653679
0.044525	0.31438	0.67097
0.055901	0.315491	0.665828
0.071022	0.238716	0.743034
0.052758	0.309261	0.673515
0.049745	0.263656	0.722542
0.050346	0.298848	0.685309
0.058016	0.291366	0.690689
0.033956	0.329492	0.658927
0.043722	0.315834	0.669725
0.055382	0.369681	0.790658
0.069483	0.21793	0.765797
0.04922	0.310257	0.673682
0.050622	0.246023	0.740858
0.046444	0.327059	0.657011
0.049087	0.279099	0.706494
0.025761	0.384871	0.604953
0.036306	0.420234	0.563934
0.052254	0.381775	0.597176
0.058256	0.344411	0.634284
0.032868	0.324766	0.664197
0.03591	0.29862	0.690257
0.035552	0.376532	0.609588
0.048064	0.436995	0.54094
0.03575	0.33394	0.653679
0.044525	0.31438	0.67097
0.055901	0.315491	0.665828
0.071022	0.238716	0.743034
0.052758	0.309261	0.673515
0.049745	0.263656	0.722542
0.050346	0.298848	0.685309
0.058016	0.291366	0.690689
0.033956	0.329492	0.658927
0.043722	0.315834	0.669725
0.055382	0.369681	0.790658
0.069483	0.21793	0.765797
0.04922	0.310257	0.673682
0.050622	0.246023	0.740858
0.046444	0.327059	0.657011
0.049087	0.279099	0.706494
