DeNovoMethylation_u	DeMethylation_d	SemiMethylation_p
0.034992	0.404115	0.581231
0.038419	0.255029	0.734781
0.05431	0.440625	0.534071
0.068529	0.19134	0.794583
0.03592	0.297483	0.691433
0.048407	0.485039	0.490287
0.044037	0.251829	0.736571
0.052029	0.160707	0.830473
0.039908	0.800432	0.166296
0.050081	0.824192	0.132356
0.059302	0.835001	0.112361
0.059873	0.761533	0.189968
0.046854	0.786869	0.174451
0.035276	0.681043	0.294054
0.032585	0.715417	0.260486
0.057702	0.789935	0.161693
0.051832	0.7427	0.2167
0.032792	0.465494	0.518724
0.062337	0.67417	0.28101
0.053445	0.365956	0.613381
0.041848	0.452911	0.527308
0.0363	0.436795	0.546752
0.034807	0.465153	0.518073
0.04135	0.474928	0.504586
0.039149	0.641845	0.332004
0.027852	0.476219	0.510138
0.040788	0.410701	0.571835
0.053165	0.316191	0.666055
0.043876	0.542933	0.432152
0.036593	0.422234	0.561728
0.028556	0.396147	0.592209
0.040924	0.43668	0.544687
0.034992	0.404115	0.581231
0.038419	0.255029	0.734781
0.05431	0.440625	0.534071
0.068529	0.19134	0.794583
0.03592	0.297483	0.691433
0.048407	0.485039	0.490287
0.044037	0.251829	0.736571
0.052029	0.160707	0.830473
0.039908	0.800432	0.166296
0.050081	0.824192	0.132356
0.059302	0.835001	0.112361
0.059873	0.761533	0.189968
0.046854	0.786869	0.174451
0.035276	0.681043	0.294054
0.032585	0.715417	0.260486
0.057702	0.789935	0.161693
0.051832	0.7427	0.2167
0.032792	0.465494	0.518724
0.062337	0.67417	0.28101
0.053445	0.365956	0.613381
0.041848	0.452911	0.527308
0.0363	0.436795	0.546752
0.034807	0.465153	0.518073
0.04135	0.474928	0.504586
0.039149	0.641845	0.332004
0.027852	0.476219	0.510138
0.040788	0.410701	0.571835
0.053165	0.316191	0.666055
0.043876	0.542933	0.432152
0.036593	0.422234	0.561728
0.028556	0.396147	0.592209
0.040924	0.43668	0.544687
