DeNovoMethylation_u	DeMethylation_d	SemiMethylation_p
0.019697	0.326521	0.666918
0.06819	0.828736	0.110616
0.051403	0.558762	0.41096
0.067751	0.721752	0.225794
0.033573	0.516885	0.465159
0.049547	0.621694	0.345897
0.059614	0.741096	0.211923
0.037411	0.454007	0.528349
0.011042	0.713976	0.278053
0.033165	0.894014	0.075319
0.028602	0.683512	0.296362
0.036252	0.68378	0.290499
0.030523	0.803461	0.171242
0.032886	0.835718	0.135864
0.027768	0.792064	0.185314
0.038493	0.780064	0.188707
0.018884	0.579607	0.409237
0.027865	0.623476	0.358653
0.045712	0.684792	0.282405
0.082006	0.803638	0.124572
0.049778	0.744221	0.216792
0.059119	0.766973	0.184836
0.089999	0.875481	0.037935
0.085604	0.886588	0.030412
0.037487	0.760049	0.210349
0.034416	0.717266	0.257172
0.069276	0.835623	0.102179
0.06437	0.732103	0.21753
0.041757	0.732815	0.29277
0.049637	0.736587	0.224941
0.052841	0.798483	0.156971
0.052293	0.714651	0.245915
0.019697	0.326521	0.666918
0.06819	0.828736	0.110616
0.051403	0.558762	0.41096
0.067751	0.721752	0.225794
0.033573	0.516885	0.465159
0.049547	0.621694	0.345897
0.059614	0.741096	0.211923
0.037411	0.454007	0.528349
0.011042	0.713976	0.278053
0.033165	0.894014	0.075319
0.028602	0.683512	0.296362
0.036252	0.68378	0.290499
0.030523	0.803461	0.171242
0.032886	0.835718	0.135864
0.027768	0.792064	0.185314
0.038493	0.780064	0.188707
0.018884	0.579607	0.409237
0.027865	0.623476	0.358653
0.045712	0.684792	0.282405
0.082006	0.803638	0.124572
0.049778	0.744221	0.216792
0.059119	0.766973	0.184836
0.089999	0.875481	0.037935
0.085604	0.886588	0.030412
0.037487	0.760049	0.210349
0.034416	0.717265	0.25717
0.069276	0.835623	0.102179
0.06437	0.732103	0.217529
0.041757	0.705257	0.264011
0.049637	0.736587	0.224941
0.052841	0.798483	0.156971
0.052293	0.714651	0.245915
