GeneName	DNA methylation heterogeneity	Expression heterogeneity
EBI3	0.4375	3.4959
SLC3A1	0.3125	1.365
PTPRD	0.3125	1.2345
TM4SF1	0.4375	1.2103
RTP3	0.3125	0.913
CDH5	0.3125	8
BCL2L15	0.3125	0.865
CCDC30	0.5625	0.824
NR3C1	0.4375	1.8426
GNG2	0.75	1.2711
AMZ1	0.4375	3.2397
HIPK4	0.375	0.683
TRIM34	0.6875	6.2491
MOBP	0.4375	2.4194
CUBN	0.4375	4.5185
HDC	0.6875	0.5495
GPR133	0.4375	6.6333
UNC93A	0.375	2.3983
IGF1	0.6875	1.1675
C4orf45	0.3125	8
GDF3	0.3125	0.5701
TBC1D3P2	0.375	3.6226
SIPA1L2	0.4375	0.5814
SPIB	0.375	8
POU6F1	0.375	8
CHN2	0.4375	1.3964
CREB3L3	0.3125	2.122
ZNF763	0.4375	8
PKD1L1	0.625	8
CYP2E1	0.4375	2.2898
LMO2	0.4375	0.6177
TMEM27	0.5625	0.8668
KIAA1671	0.5	2.7507
FRMD4A	0.4375	0.5152
SH3D19	0.4375	1.8413
AMICA1	0.5625	2.5087
GCM1	0.8125	8
CACHD1	0.3125	1.9304
A2ML1	0.3125	8
PRKAG2	0.6875	8
FAM131A	0.5625	4.717
NPEPL1	0.3125	8
DENND3	0.5625	3.939
RNF113B	0.5625	4.1078
PNMA5	0.3125	6.1081
C9orf24	0.5	3.7738
SRRM5	0.3125	1.2988
BCL6B	0.375	4.9466
GPBAR1	0.375	4.8016
PVRIG	0.3125	1.8236
DLGAP3	0.4375	3.7239
ALPP	0.3125	1.0078
CHRNA10	0.3125	1.4441
TMEM104	0.5625	0.9855
THTPA	0.3125	3.163
CDK10	0.3125	0.7028
DYRK1B	0.8125	3.8949
PRAP1	0.4375	0.8201
CSAD	0.375	0.6951
SCARNA12	0.375	2.4271
MTUS2	0.8125	3.6062
HOXB3	0.4375	8
PPP1R16A	0.375	3.6531
C11orf49	0.375	3.2205
