DeNovoMethylation_u	DeMethylation_d	SemiMethylation_p
0.054965	0.318712	0.662751
0.065797	0.471782	0.699929
0.024032	0.713997	0.268422
0.024193	0.777279	0.20345
0.025591	0.737783	0.242841
0.026482	0.730597	0.249529
0.015905	0.60496	0.385263
0.016507	0.694712	0.293628
0.017516	0.640548	0.348032
0.018895	0.632358	0.355464
0.095754	0.251807	0.721528
0.095452	0.256453	0.716485
0.154882	0.240008	0.716007
0.188379	0.164889	0.79684
0.115756	0.268961	0.69583
0.130348	0.238993	0.725186
0.121097	0.258639	0.705725
0.123383	0.237705	0.728838
0.095754	0.32389	0.641812
0.094238	0.309815	0.657951
0.153929	0.289895	0.657363
0.183599	0.228625	0.71996
0.114553	0.326896	0.630813
0.125303	0.308571	0.647225
0.120104	0.293812	0.666083
0.121818	0.300012	0.658371
0.090905	0.28361	0.68803
0.090722	0.283102	0.688652
0.151195	0.272277	0.679223
0.181157	0.199178	0.756757
0.114454	0.299046	0.662304
0.127775	0.284719	0.673571
0.118451	0.284606	0.677152
0.121428	0.272984	0.689286
0.092027	0.279793	0.691849
0.090271	0.280113	0.692092
0.150469	0.253419	0.701696
0.179303	0.199586	0.756809
0.112853	0.278993	0.685517
0.125343	0.281637	0.678002
0.11769	0.269343	0.694729
0.119352	0.237853	0.729911
