DeNovoMethylation_u	DeMethylation_d	SemiMethylation_p
0.106626	0.283936	0.744225
0.102394	0.373187	0.810666
0.065167	0.824987	0.568569
0.05425	0.550797	0.249564
0.057453	0.583219	0.302671
0.063426	0.446669	0.17404
0.040806	0.523731	0.453988
0.036996	0.603878	0.470734
0.035393	0.562628	0.476682
0.042565	0.520646	0.456208
0.195514	0.144932	0.819845
0.207993	0.115888	0.853678
0.273125	0.144638	0.801014
0.31796	0.072771	0.893303
0.23231	0.16251	0.788312
0.229866	0.15616	0.797231
0.216968	0.154485	0.802709
0.253877	0.109255	0.853569
0.221525	0.226188	0.709448
0.24218	0.223043	0.705679
0.30912	0.239928	0.65272
0.351296	0.172792	0.733636
0.253373	0.24548	0.671215
0.263409	0.246737	0.665029
0.246597	0.213537	0.716569
0.27368	0.192474	0.735001
0.208982	0.200688	0.746291
0.233951	0.202936	0.735088
0.287874	0.173325	0.756609
0.341786	0.140103	0.787147
0.252953	0.24131	0.676982
0.25106	0.236668	0.746754
0.23817	0.204608	0.731425
0.265956	0.168211	0.770843
0.200629	0.210959	0.736093
0.223265	0.206864	0.733675
0.280814	0.201029	0.720477
0.325928	0.14139	0.790245
0.234421	0.21288	0.721936
0.238216	0.21439	0.718568
0.231772	0.206211	0.731576
0.251707	0.16681	0.77708
