E_LPN_8	scBS_2C_6_1	scBS_2C_6_2	scBS_4C_7_1	scBS_4C_7_2	scBS_4C_7_3	scBS_4C_7_4	scBS_8C_9_1	scBS_8C_9_2	scBS_8C_9_3	scBS_8C_9_4	scBS_8C_9_5	scBS_8C_9_6	scBS_8C_9_7	scBS_8C_9_8
LOC102724604	0.273	NA	0.474	0.063	0.0	0.077	0.0	0.667	0.375	0.523	0.654	0.143	0.105	0.5	0.6
MTVR2	0.0	NA	0.0	NA	NA	0.25	0.0	0.0	0.0	1.0	1.0	0.5	1.0	0.0	NA
LOC100506860	0.611	0.8	0.658	0.42	0.0	0.714	0.278	0.485	0.956	0.833	0.65	0.328	0.833	0.609	0.735
LOC102724601	0.569	0.537	0.602	0.3	0.467	0.278	0.538	0.75	0.625	0.618	0.411	0.565	0.443	0.537	0.582
CHMP1B	0.198	NA	0.0	0.0	0.029	0.0	0.0	0.0	0.107	0.095	0.19	0.0	0.0	0.065	0.0
LOC441204	0.445	0.408	0.455	0.155	0.217	0.406	0.271	0.43	0.321	0.518	0.519	0.319	0.403	0.53	0.571
TCOF1	0.529	0.352	0.394	0.018	0.135	0.187	0.301	0.396	0.397	0.427	0.555	0.404	0.285	0.508	0.444
NSRP1	0.725	0.695	0.682	0.497	0.408	0.409	0.356	0.862	0.832	0.629	0.726	0.752	0.724	0.66	0.83
SPPL3	0.72	0.476	0.509	0.215	0.308	0.295	0.299	0.489	0.489	0.544	0.749	0.431	0.565	0.505	0.429
OPA3	0.437	0.446	0.494	0.288	0.238	0.239	0.289	0.265	0.287	0.337	0.297	0.467	0.436	0.336	0.332
OPA1	0.636	0.552	0.484	0.556	0.268	0.608	0.368	0.601	0.405	0.699	0.731	0.578	0.598	0.566	0.646
RNF219-AS1	0.294	0.242	0.268	0.165	0.161	0.149	0.115	0.248	0.375	0.361	0.303	0.44	0.332	0.308	0.325
ITGA8	0.533	0.461	0.465	0.357	0.243	0.399	0.258	0.458	0.566	0.5	0.614	0.551	0.506	0.549	0.634
ITGA9	0.734	0.564	0.591	0.418	0.379	0.3	0.315	0.766	0.687	0.625	0.866	0.538	0.614	0.621	0.781
ITGA1	0.127	0.26	0.214	0.228	0.247	0.072	0.127	0.17	0.224	0.245	0.345	0.214	0.314	0.228	0.322
ITGA2	0.576	0.136	0.459	0.205	0.525	0.159	0.333	0.388	0.433	0.481	0.76	0.456	0.6	0.57	0.612
ITGA3	0.387	0.265	0.289	0.224	0.115	0.271	0.16	0.333	0.358	0.5	0.581	0.09	0.535	0.363	0.321
ITGA4	0.27	0.253	0.163	0.181	0.128	0.056	0.176	0.241	0.538	0.331	0.75	0.373	0.333	0.24	0.249
ITGA5	0.053	0.154	0.157	0.006	0.042	0.037	0.086	0.132	0.045	0.08	0.197	0.056	0.059	0.246	0.096
ITGA6	0.574	0.318	0.375	0.299	0.189	0.23	0.247	0.37	0.376	0.617	0.413	0.564	0.372	0.384	0.409
ITGA7	0.428	0.313	0.34	0.272	0.313	0.152	0.365	0.336	0.421	0.41	0.461	0.309	0.397	0.669	0.467
TRHR	0.897	0.75	0.846	0.111	0.3	0.545	0.5	0.667	0.714	0.867	0.857	0.905	0.909	0.944	0.931
LOC100132287	NA	NA	NA	0.481	NA	0.0	NA	0.63	NA	0.75	0.857	NA	1.0	0.0	0.0
